,Merge,Address,Average_price_PANDA,Average_price_UBER,Cuisine_PANDA,Cuisine_UBER,Cuisine_single_PANDA,Cuisine_single_UBER,Delivery_PANDA,Delivery_UBER,Dollar_signs,Exclusivity,Food_type,Name_PANDA,Name_UBER,Promotion,Ratings_PANDA,Ratings_UBER,Reviews_PANDA,Reviews_UBER
90,the socialhouse,"12 Shepherd St, Tai Hang, Hong Kong,
 • 
More info",141.67272727272731,201.0,"['European', 'Pasta', 'Salad', 'Special Prices', 'Limited Offers']",['American'],European,American,HK$ 17 delivery fee,,2.0,0,$$ • American,the socialhouse,the socialhouse,20% off $100,4.5/5,,12.0,
91,london kebab house,"6-16 Shell St, Causeway Bay, Hong Kong, D2, G/F, ,
 • 
More info",55.38095238095239,56.0,"['Indian', 'Salad', 'Curry', 'Special Prices', 'Limited Offers']",['Indian'],Indian,Indian,HK$ 12 delivery fee,,3.0,0,$$$ • Indian,london kebab house (tin hau),london kebab house (fortress hill),,3.6/5,,162.0,
92,van gogh kitchen,"Shing Wah Mansion, 451-457 Hennessy Rd, Bowrington, Hong Kong, 2B, Hong Kong Island
 • 
More info",60.78481012658228,144.0,"['Beer & Wine', 'Drinks', 'Seafood', 'Italian', 'Tea Time']",['Italian'],Beer & Wine,Italian,HK$ 20 delivery fee,,3.0,0,$$$ • Italian,van gogh kitchen,van gogh kitchen (causeway bay) 凡高廚房,30% off $100,3.8/5,,31.0,
93,kampoeng,"Causeway Bay Commercial Building, 1-5 Sugar St, Causeway Bay, Hong Kong, B/F, ,
 • 
More info",57.8936170212766,59.0,"['South East Asian', 'Curry']",['South East Asian'],South East Asian,South East Asian,HK$ 20 delivery fee,,2.0,0,$$ • South East Asian,kampoeng,kampoeng,,4/5,,109.0,
94,youni,"Kin Lee Building Block B, 9-13a號 O'Brien Rd, 地下, Hong Kong, G/F, Kin Lee Building ,
 • 
More info",93.77966101694916,64.0,"['International', 'Dine-in Price']",['Healthy'],International,Healthy,HK$ 20 delivery fee,,1.0,0,$ • Healthy,youni (leighton centre),youni (wan chai),,5/5,,2.0,
95,royal indian curry house,"Tsing Fung Street, 20 Tsing Fung St, G/F, ,
 • 
More info",63.92,72.0,"['Dessert', 'Indian', 'Soup', 'Night Owl Picks', 'Limited Offers']",['Indian'],Dessert,Indian,HK$ 12 delivery fee,,2.0,0,$$ • Indian,royal indian curry house (tin hau),royal indian curry house 皇家印度咖哩屋,20% off $100,4.2/5,,204.0,
96,coffee obsession,"4-8 Boat St, North Point, Hong Kong, Shop E, G/F, King'S Lodge,
 • 
More info",28.675,56.0,"['Drinks', 'Western', 'Only on foodpanda', 'Dine-in Price']","['Cafe', 'Western', 'European']",Drinks,Cafe,HK$ 12 delivery fee,,2.0,1,"$$ • Cafe
 • 
Western
 • 
European",coffee obsession,coffee obsession,,5/5,,2.0,
97,seoulmate cafe,"Location Data Scrubbed For Maps Compliance. Please Reach Out To The Merchant Platform Team For More Details,
 • 
More info",80.42666666666666,70.0,"['Korean', 'Western', 'Dine-in Price']",['Korean'],Korean,Korean,HK$ 20 delivery fee,,2.0,0,$$ • Korean,seoulmate cafe (causeway bay),seoulmate cafe,,4.4/5,,19.0,
98,second sip by studio caffeine,"23 School St, Tai Hang, Hong Kong, G/F, ,
 • 
More info",74.36585365853658,79.0,"['Drinks', 'Vegetarian', 'Western', 'Tea Time']",['American'],Drinks,American,HK$ 17 delivery fee,,1.0,0,$ • American,second sip by studio caffeine,second sip by studio caffeine,,4.3/5,,31.0,
99,hkketo,"50 Paterson St, 1A, Towning Mansion, , Causeway Bay, Hong Kong Island
 • 
More info",116.23529411764706,169.0,"['Healthy', 'Hong Kong']",['Healthy'],Healthy,Healthy,HK$ 20 delivery fee,,2.0,0,$$ • Healthy,hkketo,hkketo,,1/5,,1.0,
